contactid,genderCode,birthdate,msrc_loyaltymembership,msrc_agreementtomarketingactivity,annualincome,msrc_occupationstatus,msrc_creditscore,msrc_customerrelationshipduration,msrc_distancetoneareststore
3fa4a725-d66b-436f-aca5-e653ebc01dbc,N/A,9/30/1958,FALSE,FALSE,32013,Self-employed,515.9651219,318,12.38
e11911b9-c88e-4d0b-9d89-1053136c9605,Female,6/25/1954,FALSE,FALSE,31807,Self-employed,486.8008599,254,13.69
d0181a83-d6a4-4269-adef-2a94730eea8c,Male,12/19/1960,TRUE,FALSE,31773,Employed,1005.344794,671,14.38
91117a4c-c123-4c82-9372-49be15197b44,Male,5/16/2000,FALSE,FALSE,49165,Employed,747.5397847,246,22.01
7c93fa8d-efee-4694-b78f-215673bf0a6f,Male,6/3/1953,TRUE,TRUE,35932,Employed,895.9196094,70,20.25
ddd138ef-13ce-40fc-876a-dd0614b7bead,Female,9/18/1964,FALSE,TRUE,20742,Self-employed,522.9779621,205,20.3
a8008d8f-9463-4d95-a501-6b6b6664912c,Female,5/26/1958,TRUE,TRUE,43406,Employed,931.880709,75,7.59
729c54e1-1ab7-48ab-ab70-756057475ac1,Male,1/29/1959,FALSE,FALSE,42331,Partially employed,591.7192935,312,21.59
bb4bdec3-7379-4420-8994-98a8dded7e6c,Male,6/10/1969,FALSE,FALSE,19715,Partially employed,512.4049206,330,4.59
ec8a5561-3bfa-4d17-84ec-1561f76f247d,Male,3/15/1984,FALSE,FALSE,74319,Employed,690.0028963,115,9.47
659f1aa6-a64c-4b01-ad70-4f9051edeb10,N/A,12/1/1999,FALSE,FALSE,41017,Self-employed,503.8532568,225,4.97
416d1604-36ea-4855-ae21-f534daebabcf,Male,9/1/1994,FALSE,FALSE,47292,Employed,701.1754224,110,3.51
02f234a5-e1d1-4e2a-a1ce-3ce33f46fe42,Female,1/6/1951,FALSE,FALSE,94595,Employed,731.2350957,325,19.96
a328a0f0-2ac8-43dc-b806-635907d3a745,N/A,1/1/1992,TRUE,TRUE,34974,Employed,870.871986,74,17.66
e5891f63-0451-4211-9ba2-0ca2b838d06d,Male,1/19/1978,FALSE,FALSE,26691,Employed,706.9399802,341,2.44
b591a3a1-d533-43d2-958f-deb570a892aa,Male,1/28/1970,FALSE,TRUE,65281,Employed,763.3398746,267,11.84
5ba48b97-0b71-474a-91ab-02cad11ef196,Female,9/4/1958,TRUE,TRUE,51333,Employed,934.5352237,1203,20.57
f87002e6-4897-424b-9df2-765a108e7a9e,Male,7/20/1982,FALSE,TRUE,27973,Employed,814.6970226,350,19.55
d567f568-d7a1-4492-bd1c-4bb707516697,Male,7/13/2001,TRUE,FALSE,35166,Employed,863.6854137,99,20.73
0969834b-fc83-4b00-9f5d-1756fa11a997,Male,4/29/1965,FALSE,FALSE,58705,Employed,771.166675,124,24.69
eef202db-867d-41c7-9ee3-fbb6bc161916,Female,12/9/1983,FALSE,FALSE,52253,Employed,785.639661,246,16.38
1860256f-0d9a-4998-9743-33f071542807,Male,6/30/1992,FALSE,TRUE,22758,Self-employed,413.5104942,2579,54.69
0027a18d-456f-49ff-ad24-54dba71b7625,Male,4/22/2001,FALSE,FALSE,38000,Self-employed,402.3217614,467,49.44
eb2cf7a4-b57f-4d1b-8a1b-f018a85aa911,N/A,4/26/1968,TRUE,TRUE,77555,Employed,995.0408859,80,10.37
5a2e08ee-955e-4644-9bda-6f004bae6803,Female,12/6/1951,FALSE,FALSE,60883,Employed,686.7855767,239,1.32
7d6601f5-cc89-4275-a57b-f20a127572c1,Female,6/14/2000,FALSE,FALSE,66055,Self-employed,501.2847478,299,15.89
608e0f43-42f0-4e7a-bd36-ca794d1bc32c,Male,8/28/1950,FALSE,FALSE,37892,Employed,722.5371342,145,15.58
0e39c69b-9fee-4412-9068-6ff544e84af5,Female,8/27/1966,FALSE,FALSE,45196,Employed,819.7753328,293,19.33
73cdb348-8d8f-49f1-9b39-a91822779271,Male,3/4/1981,FALSE,FALSE,28166,Self-employed,501.2754797,93,12.23
49ce0dd2-d591-483e-b286-fdad7682f7c9,Male,10/25/1970,FALSE,TRUE,25250,Employed,694.6757327,328,19.45
c50611dc-41ee-4d20-b8f2-b56deabf0f2e,Male,12/24/1958,TRUE,FALSE,77410,Employed,1006.222522,55,9.67
420510de-f1b2-4427-aaa0-f5ef32447ad6,Female,8/24/1962,TRUE,TRUE,39882,Employed,892.823382,63,24.79
bb97b229-fc14-48b1-83ba-5d42efe65613,Female,3/2/1994,FALSE,FALSE,49173,Self-employed,414.5796054,1235,65.59
6def4c6d-3a85-44eb-9d72-f35cd856b906,Male,5/5/1957,FALSE,FALSE,46573,Employed,693.4946061,97,12.99
9b5ff1f6-911f-4549-aa82-c143e53573d3,Male,12/25/1990,TRUE,FALSE,55509,Employed,899.2053179,82,14.24
6e2660cc-e046-4d24-b76d-20cfee4e6590,Female,2/12/1953,FALSE,FALSE,35828,Self-employed,518.8358978,171,12.17
f01b123e-6931-4b67-a86c-9e30457f18d0,Male,12/5/1966,TRUE,TRUE,65942,Employed,1030.163858,71,10.14
db2e335f-edc8-47aa-a848-094fe94e7c12,Female,1/19/1968,TRUE,TRUE,64685,Employed,866.3989855,239,13.68
4bba1f6b-0ef9-4efc-a84f-14709318147e,N/A,10/15/1961,FALSE,FALSE,53322,Employed,831.2671705,184,24.18
762531b0-7811-43ab-877b-2fe6a0e3c206,Male,11/3/1987,TRUE,TRUE,48876,Employed,854.2482269,332,5.6
e39ad5e9-7740-487f-be05-f25a341e3a58,Male,2/4/1963,FALSE,TRUE,37644,Employed,612.3825354,252,14.3
dbc37d31-5833-4936-8bd4-eb768148cc80,Male,3/28/1965,FALSE,FALSE,26184,Self-employed,531.5175958,123,10.6
23071fb7-ccf7-419f-b873-3f5acfadbea2,N/A,1/30/1967,FALSE,TRUE,27652,Self-employed,536.5056089,164,6.74
a7f2ba1c-f5ab-4a89-84bb-a85ed847a96c,N/A,4/1/1999,TRUE,FALSE,44687,Employed,927.05945,2695,14.39
aa6c9ec8-c320-4ad7-b7d1-884cbce3d228,Female,11/27/1956,TRUE,FALSE,81946,Employed,936.9829875,3497,16.84
e0149283-57eb-4532-a29e-8a7b344f6c23,Male,5/6/1971,TRUE,FALSE,38271,Employed,959.8036258,58,22.92
0e159ea7-eead-4a8c-977e-feefbeacfe47,Female,11/3/1962,TRUE,TRUE,51940,Employed,1021.797574,43,7.46
ae25ce8a-9fae-4baf-a284-486e204e56be,Female,9/6/1978,FALSE,FALSE,30434,Employed,731.408835,333,7.57
3d212afb-ae6f-4ed0-b05e-bf6a38a375bc,Female,12/24/1966,FALSE,FALSE,25939,Employed,756.8173612,274,20.01
646da43b-28b4-4298-a181-d553e3fc7a31,Male,10/18/1970,FALSE,FALSE,38502,Employed,694.8456164,264,16.25
4704d1e4-6b32-4c7b-bbe4-6dd357d7e0a3,Female,12/19/1969,FALSE,TRUE,37581,Employed,802.1771005,354,0.53
3bd2537a-da78-4e27-8e81-cc6936ef8f36,Male,11/16/1994,TRUE,FALSE,47981,Employed,850.0453182,311,13.95
495d25ec-ff22-4ab5-9705-2201e5241fa2,N/A,3/6/1960,FALSE,TRUE,35742,Employed,787.756698,182,13.46
8570e982-f2f3-4822-a103-d319fd975c7b,Male,5/25/1985,FALSE,TRUE,27779,Employed,785.6104139,255,19.64
d638cb56-9128-4a8e-9ecf-bf081ee87629,Male,5/1/1997,FALSE,FALSE,37184,Partially employed,409.3493266,3027,29.89
a8b8c945-0580-404f-8bd9-a0c2e44c90a0,Female,6/26/1960,FALSE,FALSE,32439,Employed,831.3573178,262,11.02
e54e37af-ec5e-43ca-ae21-a4ddcea4352d,Female,10/26/1959,FALSE,FALSE,51513,Employed,765.3731151,315,17.52
2b054037-becd-4fab-811a-e9f9b8fb39b0,Female,12/29/1975,FALSE,TRUE,45978,Partially employed,586.9602634,163,19.7
f7c8ad90-271d-4739-b798-1c3c75f18792,Male,12/19/1998,TRUE,FALSE,72461,Employed,1017.94723,3650,4.29
83750a32-39d4-4ee0-add1-8f738425e992,N/A,3/6/1981,FALSE,FALSE,44556,Employed,806.9447799,273,14.28
8ce6bc5b-3f75-4e69-bc8b-77ac11f1aac0,N/A,8/1/1969,FALSE,FALSE,37919,Employed,753.1691471,187,23.22
cf7bc9aa-c223-41dc-900a-7d6a75e70f21,Female,10/30/1992,FALSE,FALSE,42232,Employed,645.8879235,180,1.23
7df37c64-6de7-47a4-ade7-a7a147c546bd,Male,11/8/2000,FALSE,FALSE,57250,Employed,817.5697268,332,18.94
bee98e9a-2989-4aa7-8d90-908b6690ac07,Male,12/12/1961,TRUE,TRUE,58556,Employed,988.9922676,573,20.99
bd5ece04-cecb-45a6-8bd4-8d98875363ab,Male,7/2/1956,FALSE,TRUE,78455,Employed,818.2439465,117,24.16
29fb64db-f7e6-47e2-a932-753ff60dc1c9,Female,4/25/1955,FALSE,FALSE,41347,Self-employed,564.3974192,166,10.58
6ef8be6c-4efe-4e51-a622-81768c996559,Male,5/20/1991,FALSE,TRUE,36854,Self-employed,560.081054,161,8.98
0fb82522-c7bf-4829-b58f-15ce4bf5d450,Female,10/24/2002,FALSE,FALSE,33367,Employed,732.7974669,247,9.64
221b301e-ac72-4d5f-807b-554d3ec1a82d,Male,10/18/1992,TRUE,TRUE,54448,Employed,923.4552051,1743,11.39
f54e4c97-1ff4-4503-bb8d-52d6ce7bcf5d,N/A,8/29/1998,TRUE,FALSE,39216,Employed,899.628806,34,18.62
a6c0b22a-5303-424a-ae7f-bf85a8cd158b,Female,5/31/1987,FALSE,FALSE,76150,Employed,777.2290556,291,23.74
ca7c1121-e5fe-4388-8d93-8067ae7b8f47,Female,10/4/1963,TRUE,TRUE,39384,Employed,929.7667027,72,8.85
eca5abb4-8680-462f-aaaf-639099728293,Male,10/3/1999,FALSE,FALSE,0,Unemployed,386.2372329,4179,61.17
f6d5fabf-e984-416b-a26e-258d01d4aafd,Male,1/15/1965,FALSE,FALSE,25609,Self-employed,507.796353,284,4.06
59fcdf30-2b46-4604-b904-e35db65d4fd9,Male,8/17/1977,FALSE,FALSE,54949,Employed,662.7945749,343,1.05
72ecd949-34c5-4fb1-a684-a07b989bc9ee,Male,8/28/1990,TRUE,FALSE,45678,Employed,898.8328354,62,14.69
9fe05166-85da-4916-8c8b-c4c50b4ce238,Male,6/6/1966,FALSE,TRUE,32318,Employed,755.9920882,362,5.72
56c5f606-0e99-4ff9-970a-679fc9bf390c,Male,8/4/1998,FALSE,FALSE,57476,Employed,606.4264256,154,1.5
35cd7f2f-fdfb-4b87-8606-4ffa45c6144a,Male,12/2/1988,FALSE,FALSE,46745,Employed,618.290604,266,1.43
b686911a-c824-47c9-ae9b-d3fcf3b4261c,N/A,9/20/1965,TRUE,FALSE,38501,Employed,1015.964404,59,4.62
935fa7c5-2754-4c2a-b6c7-0a94cb35e820,Male,10/12/1987,FALSE,FALSE,44942,Partially employed,497.8424111,343,0.78
7afe67fb-f01c-49a8-b01b-bdbc0b122ca1,Female,11/24/1968,FALSE,FALSE,51432,Employed,620.1523942,197,3.59
56d2c631-3d70-4a2b-ad64-5b519740c010,N/A,9/11/1958,FALSE,FALSE,30103,Partially employed,586.9376692,333,17.92
49f9d51c-8261-4485-80bf-2acaf21cee60,Female,8/15/1984,TRUE,TRUE,59540,Employed,952.142137,3713,15.24
583510b4-24b5-4e43-88d4-b3220a1a6025,Male,3/6/1962,TRUE,FALSE,39692,Employed,868.6512336,331,23.72
e8347569-ed80-474e-8b09-b4fe5dcb8502,Male,9/9/1986,FALSE,FALSE,24690,Employed,623.2077184,140,18.54
0e1d085f-f1ab-44a4-9fde-348ec9f0c3fe,Male,4/7/1959,FALSE,FALSE,25059,Partially employed,521.3655562,323,5.64
1659df7b-0816-4697-bf28-200617874be0,Female,9/6/1981,TRUE,TRUE,60391,Employed,1008.708305,1640,23.48
d0670b2d-3d4e-449e-898d-35ebca891911,Female,9/6/1958,FALSE,FALSE,22352,Partially employed,537.1470206,142,9.84
793d760a-7d83-40bf-b772-d432456fe13e,Female,1/21/1954,FALSE,FALSE,49532,Partially employed,566.791936,237,0.38
27fefab4-0b0f-4567-9afa-c43f0bb70e39,Female,4/4/2000,FALSE,FALSE,56366,Employed,819.8310186,129,22.04
488d4b7b-c7ce-46d5-8a13-01b325f40212,Female,9/30/1994,TRUE,TRUE,42904,Employed,980.327281,2335,16.43
231ebced-c736-4710-b12e-90bbf570e04b,N/A,12/25/1993,TRUE,FALSE,77010,Employed,1036.427046,1838,8.34
8567eb09-ea94-4dad-8d52-f9ef51279fa4,Female,12/31/1991,FALSE,FALSE,30093,Employed,601.3630934,307,15.93
d9ad8198-6185-4bdb-9187-10408cbac843,N/A,9/8/2002,TRUE,TRUE,56071,Employed,903.5864639,52,20.74
54bdca44-0e5f-4c70-9d68-7dc5e12b7d55,Female,1/23/1994,FALSE,TRUE,51945,Employed,723.5579092,315,11.55
dc87b63d-ddc7-49cd-8f5f-09df2948feb3,Male,12/3/1957,FALSE,FALSE,33420,Employed,612.781486,275,16.91
0a2e6b61-df64-4fb8-8981-a0f6af0be729,Female,5/8/1957,FALSE,TRUE,38811,Employed,801.6630793,227,8.79
6752a79c-e316-4e41-82a8-8c04afbfd456,Female,7/23/1952,FALSE,FALSE,32935,Self-employed,585.903584,150,23.33
64828d25-b4e3-4606-a057-fc23227ba994,N/A,3/24/1960,FALSE,FALSE,53793,Self-employed,582.4401213,212,10.92
